date,weekday,is_festival,guests,sales,assigned_staff,total_staff_level,staff_count
2000-01-26,Wednesday,False,171,262827,"['Hannah', 'Bob', 'Alice', 'Ivy', 'Liam']",16,5
2000-01-27,Thursday,False,162,185976,"['Noah', 'Olivia', 'Mia', 'Riley', 'Paul']",16,5
2000-01-28,Friday,False,166,281204,"['Charlie', 'Eve', 'Alice', 'David', 'Frank']",15,5
2000-01-29,Saturday,False,253,200376,"['Sophia', 'Jack', 'Charlie', 'David', 'Paul', 'Noah', 'Olivia', 'Alice', 'Bob']",24,9
2000-01-30,Sunday,False,287,468097,"['Grace', 'Jack', 'Sophia', 'Paul', 'Kevin', 'Bob', 'Ivy', 'Riley', 'Hannah']",28,9
2000-01-31,Monday,False,216,188136,"['Liam', 'Sophia', 'Noah', 'Tyler', 'Frank', 'Kevin', 'Grace']",21,7
2000-02-01,Tuesday,False,131,221783,"['Grace', 'Riley', 'Bob', 'David', 'Frank']",13,5
2000-02-02,Wednesday,False,201,215874,"['Grace', 'Bob', 'Frank', 'David', 'Liam', 'Hannah', 'Alice']",20,7
2000-02-03,Thursday,False,230,235750,"['Kevin', 'Mia', 'Frank', 'Tyler', 'David', 'Eve']",23,6
2000-02-04,Friday,False,173,296176,"['Olivia', 'Alice', 'Paul', 'David', 'Hannah']",16,5
2000-02-05,Saturday,False,302,503736,"['Mia', 'Charlie', 'Frank', 'Riley', 'Paul', 'Jack', 'Tyler', 'Ivy', 'Bob', 'Alice']",30,10
2000-02-06,Sunday,False,340,605540,"['Quinn', 'Bob', 'Olivia', 'Paul', 'Eve', 'Sophia', 'Hannah', 'Liam', 'Jack', 'Noah']",34,10
2000-02-07,Monday,False,206,275422,"['Jack', 'Liam', 'Uma', 'Bob', 'Noah', 'Mia']",20,6
2000-02-08,Tuesday,False,121,172909,"['Liam', 'Uma', 'Jack', 'Alice']",12,4
2000-02-09,Wednesday,False,92,145820,"['David', 'Mia']",9,2
2000-02-10,Thursday,False,230,257830,"['Olivia', 'Hannah', 'Grace', 'Noah', 'Mia', 'Paul', 'Jack']",23,7
2000-02-11,Friday,False,147,109515,"['Mia', 'Riley', 'Grace', 'Hannah']",14,4
2000-02-12,Saturday,False,246,325704,"['Mia', 'Uma', 'David', 'Hannah', 'Noah', 'Frank', 'Riley']",24,7
2000-02-13,Sunday,False,311,510040,"['Noah', 'Grace', 'Mia', 'Uma', 'Quinn', 'Kevin', 'Bob', 'Liam', 'Riley']",31,9
2000-02-14,Monday,True,168,148848,"['Mia', 'Tyler', 'Paul', 'Charlie']",16,4
2000-02-15,Tuesday,False,112,202160,"['Kevin', 'Alice', 'Quinn', 'Jack']",11,4
2000-02-16,Wednesday,False,113,195377,"['David', 'Paul', 'Noah', 'Alice']",11,4
2000-02-17,Thursday,False,164,134808,"['Jack', 'David', 'Riley', 'Hannah', 'Grace', 'Alice']",16,6
2000-02-18,Friday,False,247,193648,"['Quinn', 'Uma', 'Eve', 'Noah', 'Grace', 'Olivia', 'Alice']",24,7
2000-02-19,Saturday,False,293,446532,"['Grace', 'Frank', 'Olivia', 'Liam', 'Charlie', 'Mia', 'Paul', 'Bob', 'Riley', 'Alice']",29,10
2000-02-20,Sunday,False,252,472500,"['Quinn', 'Mia', 'Bob', 'Alice', 'David', 'Liam', 'Frank', 'Riley']",25,8
2000-02-21,Monday,False,195,279630,"['Alice', 'Jack', 'Noah', 'Eve', 'Quinn', 'Charlie']",18,6
2000-02-22,Tuesday,False,109,72049,"['Grace', 'Charlie', 'Jack', 'Noah']",10,4
2000-02-23,Wednesday,False,189,322056,"['Quinn', 'Mia', 'David', 'Jack', 'Bob']",18,5
2000-02-24,Thursday,False,188,168636,"['Bob', 'Kevin', 'Quinn', 'David', 'Grace', 'Alice']",18,6
2000-02-25,Friday,False,242,296450,"['Riley', 'Liam', 'Alice', 'Hannah', 'Sophia', 'Kevin', 'Uma', 'Noah']",24,8
2000-02-26,Saturday,False,276,321264,"['Grace', 'Sophia', 'Riley', 'Noah', 'Uma', 'Ivy', 'Liam', 'Frank', 'Alice']",27,9
2000-02-27,Sunday,False,191,342654,"['Hannah', 'Ivy', 'Paul', 'Grace', 'Jack', 'Alice']",19,6
2000-02-28,Monday,False,198,325314,"['Paul', 'Sophia', 'Noah', 'Riley', 'Mia', 'Olivia']",19,6
2000-02-29,Tuesday,False,167,116065,"['Ivy', 'Kevin', 'Charlie', 'Hannah', 'Alice']",16,5
2000-03-01,Wednesday,False,245,436590,"['Hannah', 'Riley', 'Noah', 'Eve', 'Mia', 'Kevin', 'Frank', 'Alice']",24,8
2000-03-02,Thursday,False,237,470919,"['Quinn', 'Uma', 'Kevin', 'Sophia', 'Eve', 'Alice']",22,6
2000-03-03,Friday,False,205,220580,"['Paul', 'Mia', 'Bob', 'Charlie', 'Tyler', 'Frank']",20,6
2000-03-04,Saturday,False,101,106353,"['Kevin', 'Sophia', 'Liam']",10,3
2000-03-05,Sunday,False,273,405678,"['Ivy', 'Paul', 'Tyler', 'Sophia', 'Quinn', 'Mia', 'Alice']",27,7
2000-03-06,Monday,False,240,216240,"['Grace', 'Uma', 'Liam', 'Kevin', 'Frank', 'Hannah', 'Riley', 'Alice']",24,8
2000-03-07,Tuesday,False,109,79243,"['Sophia', 'Uma', 'Noah']",10,3
2000-03-08,Wednesday,False,211,255099,"['Jack', 'Ivy', 'Hannah', 'Tyler', 'Noah', 'Alice', 'Charlie']",21,7
2000-03-09,Thursday,False,120,102600,"['Paul', 'Olivia', 'Liam', 'Alice']",12,4
2000-03-10,Friday,False,193,253409,"['Sophia', 'Frank', 'Tyler', 'Hannah', 'Riley', 'Alice', 'Charlie']",19,7
2000-03-11,Saturday,False,212,225144,"['Kevin', 'Liam', 'Alice', 'Riley', 'Noah', 'Charlie', 'Olivia', 'Frank']",20,8
2000-03-12,Sunday,False,151,262438,"['Eve', 'Mia', 'Olivia', 'Riley']",15,4
2000-03-13,Monday,False,89,88466,"['Paul', 'Charlie', 'Alice']",8,3
2000-03-14,Tuesday,False,174,275964,"['Uma', 'Grace', 'Quinn', 'Jack', 'Riley']",17,5
2000-03-15,Wednesday,False,131,197548,"['Quinn', 'Frank', 'Mia', 'Alice']",13,4
2000-03-16,Thursday,False,107,134392,"['Kevin', 'Noah', 'Grace', 'Bob']",10,4
2000-03-17,Friday,False,173,333544,"['Uma', 'Jack', 'Hannah', 'Alice', 'Paul']",16,5
2000-03-18,Saturday,False,314,569910,"['Paul', 'David', 'Frank', 'Ivy', 'Eve', 'Sophia', 'Olivia', 'Riley', 'Kevin']",31,9
2000-03-19,Sunday,False,265,341055,"['Liam', 'David', 'Bob', 'Paul', 'Charlie', 'Grace', 'Mia', 'Alice']",26,8
2000-03-20,Monday,False,107,153010,"['Kevin', 'Quinn', 'Riley']",10,3
2000-03-21,Tuesday,False,171,311733,"['Ivy', 'Paul', 'Tyler', 'Sophia', 'Alice']",17,5
2000-03-22,Wednesday,False,101,167559,"['Alice', 'Grace', 'Sophia', 'Jack']",9,4
2000-03-23,Thursday,False,153,159732,"['Quinn', 'Bob', 'Hannah', 'Olivia', 'Alice']",15,5
2000-03-24,Friday,False,146,148336,"['Alice', 'Noah', 'Bob', 'Ivy', 'Grace']",13,5
2000-03-25,Saturday,False,194,258796,"['Riley', 'Ivy', 'Liam', 'Alice', 'Paul', 'Kevin']",19,6
2000-03-26,Sunday,False,294,562128,"['Hannah', 'Charlie', 'Riley', 'Quinn', 'Sophia', 'Grace', 'Eve', 'Jack', 'Frank']",29,9
2000-03-27,Monday,False,156,255060,"['Sophia', 'Frank', 'Paul', 'Hannah', 'Jack']",15,5
2000-03-28,Tuesday,False,214,297460,"['Paul', 'Liam', 'Quinn', 'Ivy', 'Sophia']",21,5
2000-03-29,Wednesday,False,235,271660,"['Frank', 'Noah', 'Jack', 'Grace', 'Quinn', 'Alice', 'Olivia', 'Eve']",23,8
2000-03-30,Thursday,False,171,104994,"['Paul', 'Mia', 'Uma', 'Jack', 'Alice']",17,5
2000-03-31,Friday,False,130,97110,"['Jack', 'Hannah', 'Kevin', 'Noah', 'Frank']",13,5
2000-04-01,Saturday,False,273,333879,"['Grace', 'Noah', 'David', 'Frank', 'Olivia', 'Paul', 'Ivy', 'Kevin', 'Alice']",27,9
2000-04-02,Sunday,False,396,653796,"['Jack', 'Grace', 'Tyler', 'Kevin', 'Riley', 'Eve', 'Noah', 'Uma', 'Sophia', 'Quinn', 'Charlie', 'Bob']",39,12
2000-04-03,Monday,False,111,89244,"['Liam', 'Eve', 'Riley']",11,3
2000-04-04,Tuesday,False,167,223947,"['Bob', 'Quinn', 'Frank', 'Ivy', 'Noah']",16,5
2000-04-05,Wednesday,False,140,143920,"['Kevin', 'Riley', 'Olivia', 'Jack', 'Paul']",14,5
2000-04-06,Thursday,False,112,106960,"['Charlie', 'Hannah', 'Kevin', 'Alice']",11,4
2000-04-07,Friday,False,123,239850,"['David', 'Paul', 'Noah', 'Riley']",12,4
2000-04-08,Saturday,False,249,250992,"['Olivia', 'Alice', 'Riley', 'Grace', 'Hannah', 'Uma', 'Eve']",23,7
2000-04-09,Sunday,False,319,427460,"['Alice', 'Riley', 'Grace', 'Jack', 'Bob', 'Sophia', 'Olivia', 'Eve', 'Quinn', 'Frank', 'Charlie']",31,11
2000-04-10,Monday,False,101,171094,"['Noah', 'David', 'Frank', 'Jack']",10,4
2000-04-11,Tuesday,False,90,74340,"['Olivia', 'David', 'Riley']",9,3
2000-04-12,Wednesday,False,116,156368,"['Charlie', 'Noah', 'David', 'Frank']",11,4
2000-04-13,Thursday,False,82,49200,"['Uma', 'Grace']",8,2
2000-04-14,Friday,False,213,306720,"['Liam', 'Grace', 'Alice', 'Frank', 'Olivia', 'Charlie', 'Hannah']",20,7
2000-04-15,Saturday,False,209,242440,"['Charlie', 'Sophia', 'Ivy', 'Noah', 'Uma', 'Jack']",20,6
2000-04-16,Sunday,False,330,385110,"['Hannah', 'Eve', 'David', 'Bob', 'Kevin', 'Liam', 'Quinn', 'Ivy', 'Alice']",33,9
2000-04-17,Monday,False,82,120458,"['Mia', 'Alice', 'Riley']",8,3
2000-04-18,Tuesday,False,205,146370,"['Grace', 'Mia', 'David', 'Quinn', 'Jack', 'Alice']",20,6
2000-04-19,Wednesday,False,124,143592,"['Liam', 'Alice', 'Kevin', 'Hannah']",12,4
2000-04-20,Thursday,False,88,141504,"['Hannah', 'Alice', 'Noah']",7,3
2000-04-21,Friday,False,127,162433,"['Olivia', 'Jack', 'Hannah', 'Frank', 'Alice']",12,5
2000-04-22,Saturday,False,248,253704,"['Quinn', 'Tyler', 'Olivia', 'Jack', 'Frank', 'Grace', 'Alice', 'Charlie']",23,8
2000-04-23,Sunday,False,306,597312,"['Mia', 'Ivy', 'Hannah', 'David', 'Noah', 'Sophia', 'Grace', 'Alice', 'Riley']",29,9
2000-04-24,Monday,False,117,93600,"['Uma', 'Quinn', 'Alice']",11,3
2000-04-25,Tuesday,False,95,84645,"['Alice', 'Uma', 'Jack']",8,3
2000-04-26,Wednesday,False,121,110473,"['Charlie', 'Ivy', 'Paul']",12,3
2000-04-27,Thursday,False,236,362024,"['Grace', 'Frank', 'Jack', 'Eve', 'Alice', 'Liam', 'Bob', 'Charlie']",22,8
2000-04-28,Friday,False,156,238524,"['Mia', 'Grace', 'Paul', 'Frank', 'Alice']",15,5
2000-04-29,Saturday,False,281,339167,"['Ivy', 'Quinn', 'Jack', 'Uma', 'Alice', 'Noah', 'Frank', 'Kevin', 'Sophia']",28,9
2000-04-30,Sunday,False,271,166394,"['Kevin', 'Riley', 'Charlie', 'Hannah', 'Alice', 'Jack', 'Eve', 'David', 'Frank']",26,9
2000-05-01,Monday,False,110,197890,"['David', 'Jack', 'Charlie', 'Alice']",10,4
2000-05-02,Tuesday,False,121,181863,"['Sophia', 'Olivia', 'Uma', 'Alice']",12,4
2000-05-03,Wednesday,False,150,92400,"['Eve', 'Sophia', 'Tyler', 'Noah', 'Alice']",15,5
2000-05-04,Thursday,False,245,429730,"['Olivia', 'Grace', 'Alice', 'Hannah', 'Tyler', 'Jack', 'Sophia', 'Kevin']",23,8
2000-05-05,Friday,False,105,200445,"['Frank', 'Eve', 'Alice', 'Riley']",10,4
2000-05-06,Saturday,False,161,137333,"['Frank', 'David', 'Grace', 'Uma', 'Jack']",16,5
2000-05-07,Sunday,False,259,349650,"['Olivia', 'Eve', 'Paul', 'Jack', 'Riley', 'Quinn', 'Kevin', 'Alice']",25,8
2000-05-08,Monday,False,163,107091,"['Mia', 'Grace', 'Bob', 'Uma', 'Alice']",16,5
2000-05-09,Tuesday,False,173,219018,"['Frank', 'Bob', 'Liam', 'Mia', 'Tyler']",17,5
2000-05-10,Wednesday,False,153,98379,"['Quinn', 'Hannah', 'Riley', 'Sophia', 'Alice']",15,5
2000-05-11,Thursday,False,220,148500,"['Bob', 'Ivy', 'Liam', 'Eve', 'David', 'Riley']",22,6
2000-05-12,Friday,False,242,177628,"['Grace', 'Noah', 'Bob', 'Olivia', 'Eve', 'Alice', 'Uma', 'Frank']",23,8
2000-05-13,Saturday,False,245,432180,"['Liam', 'David', 'Frank', 'Quinn', 'Jack', 'Uma', 'Riley']",24,7
2000-05-14,Sunday,False,358,711704,"['Olivia', 'Riley', 'Charlie', 'Ivy', 'Sophia', 'David', 'Grace', 'Hannah', 'Eve', 'Noah', 'Alice']",35,11
2000-05-15,Monday,False,88,149688,"['Olivia', 'Paul', 'Alice']",8,3
2000-05-16,Tuesday,False,191,317060,"['Bob', 'Ivy', 'Mia', 'Uma', 'Frank']",19,5
2000-05-17,Wednesday,False,162,101250,"['Hannah', 'Olivia', 'Bob', 'Grace', 'Frank', 'Riley']",16,6
2000-05-18,Thursday,False,201,358383,"['Eve', 'Olivia', 'Ivy', 'Tyler', 'Riley', 'Alice']",20,6
2000-05-19,Friday,False,198,203742,"['Olivia', 'Uma', 'Hannah', 'Riley', 'Eve']",19,5
2000-05-20,Saturday,False,155,309225,"['Bob', 'Tyler', 'Mia', 'Paul']",15,4
2000-05-21,Sunday,False,278,182090,"['Mia', 'Jack', 'Hannah', 'Paul', 'Alice', 'Uma', 'Tyler', 'Frank']",27,8
2000-05-22,Monday,False,203,193865,"['David', 'Noah', 'Hannah', 'Uma', 'Mia']",20,5
2000-05-23,Tuesday,False,200,395000,"['Quinn', 'Charlie', 'Mia', 'Jack', 'Riley', 'Alice', 'Noah']",20,7
2000-05-24,Wednesday,False,184,282440,"['Tyler', 'Ivy', 'Charlie', 'David', 'Riley']",18,5
2000-05-25,Thursday,False,97,65669,"['Paul', 'Olivia', 'Frank']",9,3
2000-05-26,Friday,False,222,243090,"['Bob', 'Quinn', 'Hannah', 'Olivia', 'Frank', 'Liam', 'Jack']",22,7
2000-05-27,Saturday,False,119,103887,"['Bob', 'Liam', 'David', 'Alice']",11,4
2000-05-28,Sunday,False,270,354240,"['Liam', 'Ivy', 'Tyler', 'Frank', 'Mia', 'Charlie', 'Sophia', 'Alice']",27,8
2000-05-29,Monday,False,217,235662,"['David', 'Quinn', 'Jack', 'Paul', 'Liam', 'Riley']",21,6
2000-05-30,Tuesday,False,118,172162,"['Riley', 'Alice', 'Hannah', 'Paul']",11,4
2000-05-31,Wednesday,False,155,258075,"['Charlie', 'Hannah', 'Kevin', 'Noah', 'Frank', 'Alice']",15,6
2000-06-01,Thursday,False,126,136080,"['David', 'Quinn', 'Bob', 'Alice']",12,4
2000-06-02,Friday,False,200,172400,"['Noah', 'Alice', 'Eve', 'Hannah', 'Sophia', 'Tyler']",19,6
2000-06-03,Saturday,False,278,216284,"['Quinn', 'Jack', 'Tyler', 'Alice', 'Frank', 'Bob', 'Riley', 'Eve', 'Noah']",25,9
2000-06-04,Sunday,False,377,594152,"['Charlie', 'Noah', 'David', 'Jack', 'Tyler', 'Kevin', 'Hannah', 'Mia', 'Frank', 'Eve', 'Riley', 'Alice']",37,12
2000-06-05,Monday,False,111,129537,"['Alice', 'Uma', 'Noah', 'Bob']",10,4
2000-06-06,Tuesday,False,209,219450,"['Quinn', 'Olivia', 'Kevin', 'Mia', 'Hannah']",20,5
2000-06-07,Wednesday,False,250,390750,"['Tyler', 'Charlie', 'Hannah', 'David', 'Sophia', 'Kevin', 'Alice', 'Grace']",25,8
2000-06-08,Thursday,False,96,90432,"['Olivia', 'Charlie', 'Grace']",9,3
2000-06-09,Friday,False,171,328491,"['Alice', 'Kevin', 'Jack', 'Frank', 'David', 'Mia']",17,6
2000-06-10,Saturday,False,245,294735,"['Uma', 'Grace', 'Liam', 'Bob', 'Olivia', 'Jack', 'Quinn']",24,7
2000-06-11,Sunday,False,104,148616,"['Alice', 'Tyler', 'Hannah']",9,3
2000-06-12,Monday,False,245,274400,"['Sophia', 'Riley', 'Kevin', 'Ivy', 'Hannah', 'Jack', 'Quinn']",24,7
2000-06-13,Tuesday,False,204,404328,"['Charlie', 'Frank', 'Liam', 'Kevin', 'Tyler', 'Bob', 'Noah']",20,7
2000-06-14,Wednesday,False,167,195223,"['Eve', 'Liam', 'Grace', 'Kevin', 'Alice']",16,5
2000-06-15,Thursday,False,209,406296,"['Alice', 'Ivy', 'Quinn', 'Uma', 'Sophia']",19,5
2000-06-16,Friday,False,101,108070,"['Uma', 'Eve']",10,2
2000-06-17,Saturday,False,220,223300,"['Bob', 'Noah', 'Eve', 'Riley', 'Charlie', 'Quinn', 'Sophia']",22,7
2000-06-18,Sunday,False,261,496944,"['Bob', 'Alice', 'Frank', 'Olivia', 'Quinn', 'Hannah', 'Mia', 'Riley', 'Jack']",26,9
2000-06-19,Monday,False,110,73810,"['Noah', 'Hannah', 'Eve']",11,3
2000-06-20,Tuesday,False,194,337366,"['Paul', 'Alice', 'Sophia', 'Bob', 'Charlie', 'Olivia', 'Jack']",18,7
2000-06-21,Wednesday,False,170,228140,"['Grace', 'Riley', 'Kevin', 'Noah', 'Paul', 'Olivia']",17,6
2000-06-22,Thursday,False,193,160190,"['Mia', 'Liam', 'Charlie', 'David', 'Bob', 'Alice']",19,6
2000-06-23,Friday,False,120,153840,"['Eve', 'Jack', 'Uma']",12,3
2000-06-24,Saturday,False,179,156804,"['Bob', 'Frank', 'Jack', 'Charlie', 'Grace', 'Noah', 'Kevin']",17,7
2000-06-25,Sunday,False,321,215391,"['Mia', 'Frank', 'Jack', 'Eve', 'Liam', 'Riley', 'Charlie', 'Grace', 'Sophia', 'Olivia']",32,10
2000-06-26,Monday,False,236,348572,"['Bob', 'Mia', 'Olivia', 'Kevin', 'Riley', 'Uma', 'Grace']",23,7
2000-06-27,Tuesday,False,241,323663,"['Grace', 'Frank', 'Mia', 'Noah', 'Ivy', 'Liam', 'Kevin']",24,7
2000-06-28,Wednesday,False,214,397184,"['Olivia', 'Uma', 'Tyler', 'Ivy', 'Sophia', 'Alice']",21,6
2000-06-29,Thursday,False,101,191193,"['Quinn', 'David', 'Alice']",10,3
2000-06-30,Friday,False,181,242902,"['Eve', 'Sophia', 'Charlie', 'Liam', 'Frank', 'Alice']",18,6
2000-07-01,Saturday,False,399,264936,"['Ivy', 'Quinn', 'Jack', 'David', 'Mia', 'Riley', 'Eve', 'Grace', 'Kevin', 'Noah', 'Olivia']",39,11
2000-07-02,Sunday,False,109,85347,"['Hannah', 'Grace', 'Olivia']",10,3
2000-07-03,Monday,False,108,214920,"['Alice', 'Hannah', 'Grace', 'Frank']",10,4
2000-07-04,Tuesday,False,226,137634,"['Grace', 'Kevin', 'Jack', 'Alice', 'Riley', 'Eve', 'Paul', 'Noah']",22,8
2000-07-05,Wednesday,True,226,321372,"['Uma', 'Olivia', 'Quinn', 'Bob', 'Charlie', 'Jack', 'Riley']",22,7
2000-07-06,Thursday,True,392,757736,"['Eve', 'Bob', 'Alice', 'Noah', 'Quinn', 'Grace', 'Paul', 'Tyler', 'Mia', 'Riley', 'Kevin', 'Charlie']",39,12
2000-07-07,Friday,False,196,311052,"['Bob', 'Jack', 'Alice', 'Quinn', 'Sophia', 'Olivia', 'Kevin']",19,7
2000-07-08,Saturday,False,162,105138,"['David', 'Noah', 'Hannah', 'Grace', 'Frank', 'Alice']",16,6
2000-07-09,Sunday,True,584,992216,"['Frank', 'Grace', 'Mia', 'Alice', 'Olivia', 'David', 'Hannah', 'Eve', 'Riley', 'Ivy', 'Paul', 'Quinn', 'Bob', 'Sophia', 'Noah', 'Charlie', 'Jack', 'Kevin']",58,18
2000-07-10,Monday,False,179,153761,"['Grace', 'Ivy', 'Alice', 'Uma', 'Noah']",16,5
2000-07-11,Tuesday,False,137,200979,"['Kevin', 'Jack', 'Grace', 'Uma']",13,4
2000-07-12,Wednesday,False,182,234234,"['Alice', 'Liam', 'Frank', 'Bob', 'Quinn', 'Sophia']",17,6
2000-07-13,Thursday,False,99,183546,"['Quinn', 'David']",9,2
2000-07-14,Friday,False,236,392940,"['Ivy', 'Tyler', 'David', 'Riley', 'Mia', 'Noah', 'Alice']",23,7
2000-07-15,Saturday,False,212,261608,"['Uma', 'Riley', 'Olivia', 'Hannah', 'Mia', 'Jack']",21,6
2000-07-16,Sunday,False,118,152574,"['Bob', 'Noah', 'Eve', 'Jack']",11,4
2000-07-17,Monday,False,148,193140,"['Paul', 'Frank', 'Riley', 'Sophia', 'Olivia']",14,5
2000-07-18,Tuesday,False,228,356820,"['Kevin', 'Eve', 'Quinn', 'Frank', 'Tyler', 'Noah', 'Alice']",22,7
2000-07-19,Wednesday,False,228,292296,"['Grace', 'Mia', 'Riley', 'Alice', 'Tyler', 'Quinn', 'Bob']",22,7
2000-07-20,Thursday,False,163,282316,"['Frank', 'Eve', 'Hannah', 'Liam', 'Alice']",16,5
2000-07-21,Friday,False,227,177968,"['Bob', 'Noah', 'Liam', 'Frank', 'Paul', 'Grace', 'Kevin', 'Riley']",22,8
2000-07-22,Saturday,False,186,132060,"['Quinn', 'Riley', 'Sophia', 'Frank', 'Hannah', 'Noah']",18,6
2000-07-23,Sunday,False,281,336357,"['Mia', 'Noah', 'Frank', 'Sophia', 'Alice', 'Eve', 'Olivia', 'Ivy', 'Jack']",28,9
2000-07-24,Monday,False,210,404880,"['Alice', 'Eve', 'Liam', 'Quinn', 'Olivia', 'Grace']",21,6
2000-07-25,Tuesday,False,189,171423,"['Uma', 'Charlie', 'Paul', 'Eve', 'Alice']",18,5
2000-07-26,Wednesday,False,91,55055,"['Mia', 'Grace', 'Alice']",9,3
2000-07-27,Thursday,False,164,197784,"['Bob', 'Noah', 'Frank', 'Olivia', 'David', 'Riley', 'Alice']",16,7
2000-07-28,Friday,False,190,185820,"['Quinn', 'Alice', 'Grace', 'Sophia', 'Paul', 'Riley']",18,6
2000-07-29,Saturday,False,169,320424,"['Sophia', 'Jack', 'Ivy', 'Hannah', 'Noah']",16,5
2000-07-30,Sunday,False,303,263307,"['Tyler', 'Ivy', 'Uma', 'Noah', 'Sophia', 'Jack', 'Quinn', 'David']",30,8
2000-07-31,Monday,False,205,386425,"['Olivia', 'Uma', 'Kevin', 'Ivy', 'Liam']",20,5
2000-08-01,Tuesday,False,124,243040,"['Bob', 'Jack', 'Sophia', 'Uma']",12,4
2000-08-02,Wednesday,False,213,264759,"['Kevin', 'Hannah', 'Tyler', 'Jack', 'Frank', 'Grace', 'Alice', 'Riley']",21,8
2000-08-03,Thursday,False,234,337428,"['Bob', 'Liam', 'Paul', 'Sophia', 'Charlie', 'Frank', 'Grace', 'Jack']",23,8
2000-08-04,Friday,False,152,148960,"['Liam', 'Riley', 'Alice', 'Bob', 'Kevin', 'Grace']",15,6
2000-08-05,Saturday,False,267,310788,"['Ivy', 'Frank', 'David', 'Uma', 'Noah', 'Alice', 'Kevin', 'Grace']",25,8
2000-08-06,Sunday,False,266,320264,"['Tyler', 'Eve', 'Riley', 'Charlie', 'Alice', 'Jack', 'Bob', 'Olivia', 'Grace']",25,9
2000-08-07,Monday,False,89,172482,"['Ivy', 'Bob', 'Alice']",8,3
2000-08-08,Tuesday,False,169,127764,"['Olivia', 'Grace', 'Mia', 'Riley', 'Bob', 'Alice']",16,6
2000-08-09,Wednesday,False,208,261040,"['Paul', 'Uma', 'David', 'Noah', 'Quinn']",20,5
2000-08-10,Thursday,False,218,304764,"['Kevin', 'Jack', 'Liam', 'Mia', 'Frank', 'David', 'Alice']",21,7
2000-08-11,Friday,False,191,162159,"['Noah', 'Mia', 'David', 'Quinn', 'Jack', 'Alice']",19,6
2000-08-12,Saturday,False,396,753192,"['Hannah', 'Tyler', 'Eve', 'Riley', 'Uma', 'Mia', 'Kevin', 'Bob', 'Ivy', 'Charlie', 'Alice']",39,11
